feature,mean_abs_shap
num_lab_procedures,0.15907493
number_inpatient,0.1503403
num_medications,0.1310971
time_in_hospital,0.12533319
discharge_disposition_id_3,0.12137224
diabetesMed_Yes,0.116461694
number_diagnoses,0.091136746
age_50_60),0.0725214
discharge_disposition_id_22,0.06232093
num_procedures,0.060976084
metformin_No,0.04086875
discharge_disposition_id_6,0.040321685
discharge_disposition_id_5,0.036294363
insulin_Steady,0.03200024
admission_source_id_7,0.031734776
discharge_disposition_id_18,0.031129055
number_outpatient,0.029574344
insulin_No,0.027140826
admission_type_id_2,0.025144108
A1Cresult_gt8,0.023670768
admission_source_id_4,0.023638902
age_60_70),0.023567695
admission_type_id_3,0.023123704
number_emergency,0.022588637
glipizide_No,0.022479944
age_30_40),0.021742456
age_40_50),0.02125338
age_70_80),0.01958662
age_80_90),0.019480875
metformin_Steady,0.018851843
rosiglitazone_No,0.018371165
pioglitazone_Steady,0.017295595
change_No,0.016151365
glimepiride_Steady,0.01558053
discharge_disposition_id_2,0.015200336
admission_source_id_17,0.014110183
rosiglitazone_Steady,0.013231396
discharge_disposition_id_13,0.012578825
pioglitazone_No,0.012050704
A1Cresult_Norm,0.011971706
glipizide_Steady,0.0119115375
discharge_disposition_id_25,0.011722756
admission_type_id_5,0.011676944
glyburide_No,0.011398759
insulin_Up,0.010875162
admission_type_id_6,0.010697358
admission_source_id_6,0.010656723
admission_source_id_2,0.00984713
acarbose_Steady,0.009674383
glyburide_Steady,0.009610561
age_90_100),0.009125993
admission_source_id_5,0.0075599006
max_glu_serum_Norm,0.0070999684
nateglinide_No,0.0061640763
glyburide_metformin_No,0.0059845424
glimepiride_No,0.0050691073
rosiglitazone_Up,0.0045603923
discharge_disposition_id_4,0.004514026
repaglinide_No,0.0043419558
discharge_disposition_id_28,0.0043396936
discharge_disposition_id_15,0.004252495
max_glu_serum_gt300,0.0038890836
age_10_20),0.0037786914
glyburide_Up,0.0037188458
discharge_disposition_id_14,0.003622902
age_20_30),0.0033781745
metformin_Up,0.0033656037
repaglinide_Steady,0.003346002
discharge_disposition_id_23,0.0032498634
discharge_disposition_id_7,0.0031684907
chlorpropamide_No,0.0027853134
admission_type_id_7,0.0022208106
glimepiride_Up,0.0015889353
admission_type_id_8,0.0014864514
glipizide_Up,0.0014655055
admission_source_id_3,0.0013149504
repaglinide_Up,0.0011484167
admission_source_id_8,0.00091072585
admission_source_id_20,0.00076128036
discharge_disposition_id_8,0.0005906453
pioglitazone_Up,0.0005759727
nateglinide_Steady,0.00027040715
admission_source_id_9,0.00026017797
discharge_disposition_id_12,0.00016970448
discharge_disposition_id_9,0.00016511673
nateglinide_Up,7.889832e-05
discharge_disposition_id_10,6.383879e-05
admission_source_id_10,4.75458e-05
admission_type_id_4,3.4644418e-05
discharge_disposition_id_17,3.1609266e-05
acarbose_Up,1.6996026e-05
discharge_disposition_id_16,0.0
admission_source_id_25,0.0
discharge_disposition_id_27,0.0
discharge_disposition_id_24,0.0
admission_source_id_14,0.0
admission_source_id_13,0.0
admission_source_id_22,0.0
admission_source_id_11,0.0
chlorpropamide_Steady,0.0
chlorpropamide_Up,0.0
glyburide_metformin_Up,0.0
glyburide_metformin_Steady,0.0
